system,country,origin,status,url,class
FGM-148 Javelin,Ukraine,United States,captured,https://twitter.com/UAWeapons/status/1499793578591236260,Anti-Tank Guided Missiles
FGM-148 Javelin,Ukraine,United States,captured,https://i.postimg.cc/hjCGVymS/21d.png,Anti-Tank Guided Missiles
Forpost reconnaissance UAV,Russia,Israel,destroyed,https://i.postimg.cc/QMfV9BST/35g.png,Unmanned Aerial Vehicles
Fuel train,Russia,Russia,destroyed,https://i.postimg.cc/tTsYnFXR/325.png,Logistics Trains
Fuel train,Russia,Russia,destroyed,https://i.postimg.cc/3NC7kwDJ/mn6.png,Logistics Trains
GAZ Sobol,Russia,Russia,abandoned,https://postimg.cc/87FbS5YH,"Trucks, Vehicles, and Jeeps"
GAZ Sobol,Russia,Russia,destroyed,https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png,"Trucks, Vehicles, and Jeeps"
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/7YDqZt1H/4435.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://postimg.cc/jnsX0hVw,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/XYsxrSnW/Screenshot-8293.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/pVGgCB1P/449.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/5trrQyZ5/435.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/26Q08q6c/m9.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/d3jBDjhh/Screenshot-8448.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/RCcYydQJ/790.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/fTK9xgtM/47.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/BbVkvq1j/450.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/qRSdjptb/3211.jpg,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,damaged,https://i.postimg.cc/ZKDrDbck/85.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/RFjRh5VD/776d.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/9fgg8bGr/3f1.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/dVQxVhc7/58p.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/TYnZsP1T/f1.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,abandoned,https://postimg.cc/KKD3Shmf,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/JzBRKYtc/5j.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/DZysb6p8/41.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/Z52pQfkG/f8.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/X7HWmbHB/7762.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/sDRQNbwy/567.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/W1VpzFcv/5578.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/cH3pwwhk/43fhl.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/L5tqXF8f/4431.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://postimg.cc/f3bh0QRp,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/wB3Qr50G/7j.jpg,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,destroyed,https://i.postimg.cc/Kz7JyDzQ/5gj.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/gkpDYMB3/ff4.png,Infantry Mobility Vehicles
GAZ Tigr-M,Russia,Russia,captured,https://i.postimg.cc/pL2jmr8d/3359.png,Infantry Mobility Vehicles
GAZ-3308,Russia,Russia,abandoned,https://postimg.cc/cg7mbbzG,"Trucks, Vehicles, and Jeeps"
GAZ-3308,Russia,Russia,abandoned,https://postimg.cc/62xczXYh,"Trucks, Vehicles, and Jeeps"
GAZ-66,Russia,Soviet Union,captured,https://i.postimg.cc/KjG2nQzc/4f220.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Russia,Soviet Union,captured,https://i.postimg.cc/ncy3jWxy/55488.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,damaged,https://i.postimg.cc/YC0mqTkH/58.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,damaged,https://i.postimg.cc/gj9TG17c/Screenshot-8228.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/qvyKsBvd/Screenshot-8260.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Russia,Soviet Union,abandoned,https://i.postimg.cc/8zKhCCjn/317.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/PqdfwfZ1/r3.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/9MGPZgQM/Screenshot-8017.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/1RVZrFkD/Screenshot-8053.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/4xrgYWx5/f235.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Russia,Soviet Union,captured,https://i.postimg.cc/9XPRbTw9/f43.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,damaged,https://i.postimg.cc/gjhmvGsF/g3.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/R0vMzqRd/g544.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/qR4Nyztq/113.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/SQ1Xb993/r3.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/VLr5Xr51/542f.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://postimg.cc/PP20VdH5,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/JnVmfxgG/bl.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/8PzD9FYh/f23.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/hjdXLc6L/4f.png,"Trucks, Vehicles, and Jeeps"
GAZ-66,Ukraine,Soviet Union,captured,https://i.postimg.cc/jdz0Gbd5/Screenshot-8054.png,"Trucks, Vehicles, and Jeeps"
GMZ-3 minelayer,Russia,Soviet Union,captured,https://i.postimg.cc/wTmtwnYL/f79.png,Engineering Vehicles
HMMWV,Ukraine,United States,destroyed,https://i.postimg.cc/bY3x4Pp9/4478.png,Infantry Mobility Vehicles
IMR-2 combat engineering vehicle,Russia,Soviet Union,abandoned,https://i.postimg.cc/gkmWVDpv/336.png,Engineering Vehicles
IMR-2 combat engineering vehicle,Russia,Soviet Union,destroyed,https://i.postimg.cc/xdbysNZ7/5548.png,Engineering Vehicles
Island-class patrol boat P190 Slovyansk,Ukraine,United States,NA,https://twitter.com/Militarylandnet/status/1500536901974986752 ,Naval Ships
Iveco LMV 'Rys',Russia,Italy,destroyed,https://i.postimg.cc/5y3npSgL/345.png,Infantry Mobility Vehicles
Iveco LMV 'Rys',Russia,Italy,destroyed,https://i.postimg.cc/TPmCH0KS/ff2.png,Infantry Mobility Vehicles
Iveco LMV 'Rys',Russia,Italy,destroyed,https://i.postimg.cc/fyNCwrR4/Screenshot-8447.png,Infantry Mobility Vehicles
Iveco LMV 'Rys',Russia,Italy,captured,https://i.postimg.cc/C5gfTFhF/680o.png,Infantry Mobility Vehicles
Iveco LMV 'Rys',Russia,Italy,destroyed,https://i.postimg.cc/cJnJnpW9/479.png,Infantry Mobility Vehicles
Iveco LMV 'Rys',Russia,Italy,abandoned,https://i.postimg.cc/sDCqXTNg/Screenshot-8445.png,Infantry Mobility Vehicles
K-4386 Typhoon-VDV,Russia,Russia,destroyed,https://i.postimg.cc/vTpj86LK/ff4.jpg,Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 'Linza',Russia,Russia,captured,https://i.postimg.cc/cLxqfKhH/52o.png,Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 Typhoon-K,Russia,Russia,captured,https://postimg.cc/fVK20jGS,Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 Typhoon-K,Russia,Russia,abandoned,https://i.postimg.cc/N0hp3Q4m/545.jpg,Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 Typhoon-K,Russia,Russia,captured,https://i.postimg.cc/63JHwmRH/5424.png,Mine-Resistant Ambush Protected (MRAP) Vehicles
Ka-52 'Alligator' attack helicopter,Russia,Russia,destroyed,https://i.postimg.cc/1tPVQmb4/4fd6.png,Helicopters
Ka-52 'Alligator' attack helicopter,Russia,Russia,damaged,https://i.postimg.cc/Zqj182jJ/987.png,Helicopters
Ka-52 'Alligator' attack helicopter,Russia,Russia,destroyed,https://ren.tv/news/v-rossii/949310-dva-cheloveka-pogibli-pri-krushenii-vertoleta-v-rostovskoi-oblasti,Helicopters
Ka-52 'Alligator' attack helicopter,Russia,Russia,damaged,https://postimg.cc/jCmC8Nx5,Helicopters
KamAZ,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/6pr9sdqZ/Screenshot-8019.png,"Trucks, Vehicles, and Jeeps"
KamAZ 4x4,Russia,Russia,abandoned,https://i.postimg.cc/65M1yk1T/4245.png,"Trucks, Vehicles, and Jeeps"
KamAZ 4x4,Russia,Russia,captured,https://i.postimg.cc/15s6XY76/Screenshot-9011.png,"Trucks, Vehicles, and Jeeps"
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/dVZtMRWY/4456.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/3RKjWRVn/6657.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/jj8q1SB0/Screenshot-8210.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/wxQHYYsr/689.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/nc8Fg5Sz/Screenshot-8215.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/MpmpyDDG/Screenshot-8209.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/RVN3Sy6D/4g.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/tRxXd5HX/4f2b.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/hPqDmdpD/554.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/PvG7gwYj,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/HkR3XxxV/5.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/pTYNvKyj/57.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/nzgFHwH3/Screenshot-8211.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/KRCMt59P,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/3xPd6QPq/p0.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/4NTY7Tss/43gdp.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/G2jhxL3d/x1.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/FsXhTL90/f57.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/nrMnttVL/7k.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/W39WJvjf/4387.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/wjDYJj9c/Screenshot-8224.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/05bh56jh/447.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/G2Ndj56v/Screenshot-8192.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/mhW4vFLD/Screenshot-8193.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/W4hRtsCh/e11.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/K8dLcdtV/h0.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/YSRVHR7N/ff8.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/mrwWdspw/3d.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/W3YpnCfM/b6.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/9fPDTqsX/468k.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/1ttjTBH0/4455.png,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/kGnW3KWg/880.png,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/XYdzk891/5g.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/k5QJrzV3/872.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/5QNwkNv8,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/kXvznpZN/v7.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/rd1xVtNS,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/wxFtfg1F/jo.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/9F0M05Tb/Screenshot-8232.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/d3vCfcTF/c1.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/sf97hxtg/c2.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/WbyCJF97/g32.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/xC6t8bYR/b0.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/XY1rcwrp/78.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/gjV6fNhS/5557.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/xTfVSWDZ/80.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/yYMXXbCM/vb.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/26rzdvFN/m8.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/vmYxfVh0/fu13.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/K4hRzk4r/fu14.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/W13WmFnz/d1s.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/wvpMrTzN/ug4.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/3NLwWXvj/ug3.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/MTvNFYv4/235.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/rpcknGtL/fu1.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/5yqVsR4L/Screenshot-8949.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/BZ8F4QH8/3dh.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/6Q0p7yrb/b7.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/RhCvjJ0x/ttr.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/cC93z2Zk/3268.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/3RNSxNCt/324.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/xj6wSkMN/3ds1.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/76fwSwM6/5f2.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/VkXF0qmD/6599.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/CKtyZSyN/43111.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/1ttCbb4J/tt1.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/15tY3vhL/4456.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/xTNQw51P/aa1.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/RC6RYDzZ/Screenshot-8396.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://postimg.cc/1f97MCN1,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/FHz36Vf7/5542.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/g2hkrxQg/5548.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/CMZjk24Y/f65.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/vHq2KnbR/Screenshot-8561.png,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://postimg.cc/jWRY7hHb,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/GhDp0yzL/tt1.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/CK9ZnJrc/Screenshot-8398.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/Pq6cnvCm/Screenshot-8284.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/RFmCkffg/Screenshot-8273.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/tCPccYNm/v8.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/QxWgPGmW/a2.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/C1PHyw9b/a3.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/d0VpWVYH/f7.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/mrWNYRrH/5433.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/dQhZ41xT/443.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/G9KswLMf,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/T1zWDNNb/fu10.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/QdrTNPTG/fu11.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/7ZMT5V3C/fu12.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://postimg.cc/CznZMqFz,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/Yq8XDRGx/f3.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/rs5XkdbM/dd2.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/85PBn7X1/a1.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/HxQ4xL1x/8u.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/wBfFwpNT/6680.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/d37Pk4gG/fu2.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/ydYN1LZ7/as43.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/ZR75C68p/as44.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/BnzBjwqS/554.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/dQmFbzNj/6888.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/C5Nyq4DJ/800.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/Ssqsv6s3/tr1.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/CKtyZSyN/43111.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/gJ6f7NZ3/57.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/DZ0Q5pHc/6652.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/BvPBrgh2/7u.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://postimg.cc/zVzd9q5t,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/ZqYR92LP/Screenshot-8486.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/zfSdmcc4/b00.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://postimg.cc/VS80VkP5,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/rsDGMvL3/a4.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/bvXpqBvT/b677.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/SRc0ZRwz/a3.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/sgcVZwrF/ka1.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/c4Hsh3jQ/ttrr.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/50hdqLkV/a4.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/PrKPQdFp/Screenshot-8399.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/qRdCnYt1/b6.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/43yxjGmX/432.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/4NpY38Vb/3567.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/gc7qNkVW/a5.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/bNQBNBGY/Screenshot-8285.png,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/C1ZkcvPv/d3.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/Pf0f1L53/v3.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/gJygwhRj/554.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/VkpkSLDj/f87.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/SRcQVH07/44366.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/23RZybKP/6800.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/zfp7Rm55/Screenshot-8276.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/jjbYvXFc/g3.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/TwPpRR2S/hh5.jpg,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/Bbj44g2S/5580.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/L4QhPQVK/325.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/Hn7xkb8m/688.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/YSQ2ps72/r2.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/WbxvqjmQ/g1.png,Communications Stations
KamAZ 6x6,Russia,Russia,abandoned,https://i.postimg.cc/nh7tv50M/g2.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/sfcQf9Xq/2d3.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/BbM8p4W3/p1.png,Communications Stations
KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/Rhhng7p9/4r.png,Communications Stations
KamAZ 6x6,Russia,Russia,destroyed,https://i.postimg.cc/TwqThWRp/8875.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/VL2jHKQx/43g.png,Communications Stations
KamAZ 6x6,Russia,Russia,captured,https://i.postimg.cc/3xzdgFbn/ug2.png,Communications Stations
KamAZ Avtozaks,Russia,Russia,destroyed,https://i.postimg.cc/wMKZgmkG/t7.jpg,"Trucks, Vehicles, and Jeeps"
KamAZ Avtozaks,Russia,Russia,destroyed,https://i.postimg.cc/8C0xX3fD/t6.jpg,"Trucks, Vehicles, and Jeeps"
KamAZ Avtozaks,Russia,Russia,abandoned,https://i.postimg.cc/kg3NP1YY/a6.png,"Trucks, Vehicles, and Jeeps"
KamAZ Avtozaks,Russia,Russia,captured,https://i.postimg.cc/dQhZ41xT/443.png,"Trucks, Vehicles, and Jeeps"
KamAZ with armoured cabin,Russia,Russia,abandoned,https://i.postimg.cc/k5h1G2f3/39.png,"Trucks, Vehicles, and Jeeps"
KamAZ with armoured cabin,Russia,Russia,destroyed,https://i.postimg.cc/rmWjR3ww/335.png,"Trucks, Vehicles, and Jeeps"
KamAZ with armoured cabin,Russia,Russia,abandoned,https://i.postimg.cc/4yj6dBfd/a7.png,"Trucks, Vehicles, and Jeeps"
KamAZ-5350 with crane,Russia,Russia,destroyed,https://i.postimg.cc/zXtR3QK8/744.png,Engineering Vehicles
KamAZ-5350 with EOV-3523 excavator,Russia,Russia,captured,https://i.postimg.cc/T30TyPdL/Screenshot-8219.png,Engineering Vehicles
